label,message
spam,Win a free trip to Paris! Enter now! [53]
ham,"Hi, are we still on for lunch tomorrow? [61]"
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim. [48]
spam,Free ringtone subscription. Click to activate. [55]
spam,Get rich quick! Join our trading platform and double your income. [44]
ham,Meeting is rescheduled to 3 PM today. [45]
spam,Win a free trip to Paris! Enter now! [13]
ham,Can we talk later? I’m in a meeting. [40]
ham,See you at the gym later. [14]
ham,Happy birthday! Hope you have a great day. [30]
ham,Can you send me the project files by evening? [82]
spam,Get rich quick! Join our trading platform and double your income. [4]
spam,Congratulations! You have won a free lottery ticket. Claim now! [61]
ham,Meeting is rescheduled to 3 PM today. [65]
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim. [88]
ham,Happy birthday! Hope you have a great day. [50]
ham,What time are we meeting for dinner? [31]
spam,Low-interest loans available now. Apply immediately. [19]
ham,I’ve sent the email you asked for. [56]
ham,Just reached home safely. [33]
spam,URGENT! Your account has been compromised. Click here to secure it. [63]
spam,Get rich quick! Join our trading platform and double your income. [64]
spam,Act now to receive a free subscription to Netflix for 1 year. [67]
spam,Free ringtone subscription. Click to activate. [15]
ham,How was your day? [37]
spam,Get rich quick! Join our trading platform and double your income. [24]
ham,Good luck with your exams! [72]
ham,"I'll be late for class today, stuck in traffic. [28]"
spam,Double your money by investing with us today. [74]
ham,Can you send me the project files by evening? [22]
ham,I’ve sent the email you asked for. [36]
spam,Low-interest loans available now. Apply immediately. [59]
spam,Congratulations! You have won a free lottery ticket. Claim now! [1]
ham,I’ve sent the email you asked for. [96]
spam,Limited offer! Claim your free Amazon voucher now. [26]
spam,Exclusive discount coupons just for you! [57]
spam,Don't miss out on our exclusive limited time offer. [12]
spam,Congratulations! You have won a free lottery ticket. Claim now! [81]
ham,How was your day? [17]
ham,Meeting is rescheduled to 3 PM today. [85]
spam,Claim your cash prize now by clicking this link! [51]
spam,You are selected for a free Samsung Galaxy. Claim here. [16]
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim. [28]
spam,Low-interest loans available now. Apply immediately. [79]
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim. [68]
spam,Unlock exclusive adult content by clicking here. [49]
spam,Earn money from home without any investment. Limited time offer! [42]
spam,Get access to thousands of streaming channels instantly. [60]
spam,URGENT! Your account has been compromised. Click here to secure it. [23]
spam,Earn money from home without any investment. Limited time offer! [82]
ham,Hey! Just checking in. How are you doing? [87]
ham,Let's catch up this weekend. It's been a while. [46]
spam,You've won a $1000 Walmart gift card. Click here to claim now. [10]
spam,Win a free trip to Paris! Enter now! [33]
ham,Don't forget to bring the documents to the meeting. [4]
ham,Your parcel has been delivered. [39]
ham,Let's catch up this weekend. It's been a while. [66]
ham,Please find the attached report for your review. [29]
spam,Limited offer! Claim your free Amazon voucher now. [46]
ham,Thanks for your help earlier! [95]
ham,Let’s plan something for the weekend. [58]
ham,How was your day? [77]
ham,Meeting is rescheduled to 3 PM today. [25]
ham,Happy birthday! Hope you have a great day. [10]
ham,Can you send me the project files by evening? [42]
spam,Final notice: You must verify your account today. [78]
ham,"Hi, are we still on for lunch tomorrow? [41]"
ham,How was your day? [97]
ham,Please find the attached report for your review. [9]
spam,Get access to thousands of streaming channels instantly. [100]
ham,See you at the gym later. [74]
ham,Just reached home safely. [73]
ham,Let’s plan something for the weekend. [78]
ham,Thanks for your help earlier! [35]
spam,Low-interest loans available now. Apply immediately. [39]
ham,I’ve sent the email you asked for. [16]
spam,Congratulations! You have won a free lottery ticket. Claim now! [41]
ham,Your parcel has been delivered. [99]
ham,Please find the attached report for your review. [69]
spam,You won a brand new iPhone! Click here to enter your details. [85]
ham,What time are we meeting for dinner? [51]
spam,Get access to thousands of streaming channels instantly. [80]
ham,"I'll be late for class today, stuck in traffic. [8]"
ham,Just reached home safely. [13]
ham,What time are we meeting for dinner? [11]
spam,Act now to receive a free subscription to Netflix for 1 year. [7]
ham,What time are we meeting for dinner? [71]
ham,"I'll be late for class today, stuck in traffic. [48]"
ham,Can we talk later? I’m in a meeting. [60]
spam,You won a brand new iPhone! Click here to enter your details. [5]
spam,You've won a $1000 Walmart gift card. Click here to claim now. [70]
ham,Happy birthday! Hope you have a great day. [90]
ham,Let’s plan something for the weekend. [38]
spam,Act now to receive a free subscription to Netflix for 1 year. [87]
spam,Unlock exclusive adult content by clicking here. [69]
spam,Exclusive discount coupons just for you! [97]
spam,Win a free trip to Paris! Enter now! [73]
spam,Limited offer! Claim your free Amazon voucher now. [86]
spam,Get rich quick! Join our trading platform and double your income. [84]
ham,Call me when you're free. Need to discuss something. [43]
ham,Don't forget to bring the documents to the meeting. [24]
ham,Please find the attached report for your review. [89]
ham,Just reached home safely. [53]
ham,Hey! Just checking in. How are you doing? [27]
ham,Let's catch up this weekend. It's been a while. [6]
ham,Thanks for your help earlier! [55]
ham,Thanks for your help earlier! [75]
spam,You've won a $1000 Walmart gift card. Click here to claim now. [90]
ham,Your parcel has been delivered. [59]
ham,"Hi, are we still on for lunch tomorrow? [21]"
ham,Please find the attached report for your review. [49]
spam,Double your money by investing with us today. [14]
spam,Final notice: You must verify your account today. [18]
spam,You are selected for a free Samsung Galaxy. Claim here. [36]
ham,"I'll be late for class today, stuck in traffic. [88]"
ham,Can you send me the project files by evening? [2]
ham,Meeting is rescheduled to 3 PM today. [5]
ham,Your parcel has been delivered. [19]
ham,Call me when you're free. Need to discuss something. [23]
ham,Hey! Just checking in. How are you doing? [7]
spam,Double your money by investing with us today. [54]
ham,Call me when you're free. Need to discuss something. [83]
ham,Just reached home safely. [93]
ham,How was your day? [57]
spam,Act now to receive a free subscription to Netflix for 1 year. [27]
spam,Double your money by investing with us today. [94]
spam,Act now to receive a free subscription to Netflix for 1 year. [47]
spam,You are selected for a free Samsung Galaxy. Claim here. [76]
ham,Let’s plan something for the weekend. [98]
ham,Let's catch up this weekend. It's been a while. [86]
spam,Claim your cash prize now by clicking this link! [71]
ham,Can we talk later? I’m in a meeting. [100]
ham,Hey! Just checking in. How are you doing? [67]
spam,Exclusive discount coupons just for you! [37]
spam,URGENT! Your account has been compromised. Click here to secure it. [83]
ham,"I'll be late for class today, stuck in traffic. [68]"
spam,You won a brand new iPhone! Click here to enter your details. [25]
spam,You've won a $1000 Walmart gift card. Click here to claim now. [30]
ham,See you at the gym later. [94]
spam,Free ringtone subscription. Click to activate. [35]
ham,Let’s plan something for the weekend. [18]
spam,You are selected for a free Samsung Galaxy. Claim here. [96]
spam,You won a brand new iPhone! Click here to enter your details. [45]
spam,Free ringtone subscription. Click to activate. [95]
ham,Call me when you're free. Need to discuss something. [3]
ham,Let's catch up this weekend. It's been a while. [26]
spam,Exclusive discount coupons just for you! [17]
spam,URGENT! Your account has been compromised. Click here to secure it. [43]
ham,"Hi, are we still on for lunch tomorrow? [1]"
ham,Don't forget to bring the documents to the meeting. [64]
ham,Call me when you're free. Need to discuss something. [63]
spam,You are selected for a free Samsung Galaxy. Claim here. [56]
spam,Claim your cash prize now by clicking this link! [11]
spam,Exclusive discount coupons just for you! [77]
spam,Final notice: You must verify your account today. [58]
ham,See you at the gym later. [34]
spam,Don't miss out on our exclusive limited time offer. [52]
spam,Claim your cash prize now by clicking this link! [91]
spam,Earn money from home without any investment. Limited time offer! [22]
spam,Free ringtone subscription. Click to activate. [75]
spam,Get access to thousands of streaming channels instantly. [20]
spam,Unlock exclusive adult content by clicking here. [9]
spam,Low-interest loans available now. Apply immediately. [99]
spam,Don't miss out on our exclusive limited time offer. [32]
spam,Earn money from home without any investment. Limited time offer! [2]
ham,See you at the gym later. [54]
ham,"Hi, are we still on for lunch tomorrow? [81]"
spam,Final notice: You must verify your account today. [98]
ham,Good luck with your exams! [92]
spam,Limited offer! Claim your free Amazon voucher now. [66]
spam,Win a free trip to Paris! Enter now! [93]
spam,Don't miss out on our exclusive limited time offer. [92]
spam,You've won a $1000 Walmart gift card. Click here to claim now. [50]
ham,Can you send me the project files by evening? [62]
spam,Final notice: You must verify your account today. [38]
ham,Good luck with your exams! [52]
ham,Don't forget to bring the documents to the meeting. [84]
spam,Get access to thousands of streaming channels instantly. [40]
spam,Congratulations! You have won a free lottery ticket. Claim now! [21]
ham,Good luck with your exams! [12]
spam,You won a brand new iPhone! Click here to enter your details. [65]
ham,Thanks for your help earlier! [15]
ham,Hey! Just checking in. How are you doing? [47]
spam,Double your money by investing with us today. [34]
ham,Can we talk later? I’m in a meeting. [20]
spam,Unlock exclusive adult content by clicking here. [29]
ham,Can we talk later? I’m in a meeting. [80]
ham,Good luck with your exams! [32]
spam,Don't miss out on our exclusive limited time offer. [72]
ham,Your parcel has been delivered. [79]
spam,URGENT! Your account has been compromised. Click here to secure it. [3]
spam,Earn money from home without any investment. Limited time offer! [62]
spam,Claim your cash prize now by clicking this link! [31]
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim. [8]
spam,Unlock exclusive adult content by clicking here. [89]
ham,I’ve sent the email you asked for. [76]
spam,Limited offer! Claim your free Amazon voucher now. [6]
ham,Don't forget to bring the documents to the meeting. [44]
ham,Happy birthday! Hope you have a great day. [70]
ham,What time are we meeting for dinner? [91]
